item_name,item_code,kind_name,kind_code,rank,rank_code,unit,day1,dpr1,day2,dpr2,day3,dpr3,day4,dpr4,day5,dpr5,day6,dpr6,day7,dpr7,date
감자,152,대지마(1kg),02,상품,04,100g,당일 (01/25),"6,405",1일전 (01/24),-,1주일전 (01/18),-,2주일전 (01/11),-,1개월전,-,1년전,-,일평년,639,2021-01-25
쌀,111,20kg(1kg),01,상품,04,20kg,당일 (01/26),"2,998",1일전 (01/25),"2,998",1주일전 (01/19),"2,993",2주일전 (01/12),"2,986",1개월전,"60,487",1년전,"51,662",일평년,"45,944",2021-01-26
고구마,151,밤(1kg),00,상품,04,1kg,당일 (01/26),"6,531",1일전 (01/25),"6,484",1주일전 (01/19),"6,156",2주일전 (01/12),"6,035",1개월전,"5,867",1년전,"4,153",일평년,"4,405",2021-01-26
고구마,151,밤(1kg),00,중품,05,1kg,당일 (01/26),"5,076",1일전 (01/25),"5,076",1주일전 (01/19),"4,640",2주일전 (01/12),"4,562",1개월전,"4,614",1년전,"3,586",일평년,"3,644",2021-01-26
감자,152,수미(노지)(1kg),01,상품,04,100g,당일 (01/26),"3,319",1일전 (01/25),"3,319",1주일전 (01/19),"3,169",2주일전 (01/12),"3,175",1개월전,296,1년전,318,일평년,322,2021-01-26
감자,152,수미(노지)(1kg),01,중품,05,100g,당일 (01/26),"2,469",1일전 (01/25),"2,469",1주일전 (01/19),"2,404",2주일전 (01/12),"2,411",1개월전,219,1년전,235,일평년,248,2021-01-26
감자,152,대지마(1kg),02,상품,04,100g,당일 (01/26),"6,271",1일전 (01/25),"6,405",1주일전 (01/19),-,2주일전 (01/12),-,1개월전,-,1년전,-,일평년,639,2021-01-26
쌀,111,20kg(1kg),01,상품,04,20kg,당일 (01/27),"2,998",1일전 (01/26),"2,998",1주일전 (01/20),"2,996",2주일전 (01/13),"2,993",1개월전,"60,487",1년전,"51,662",일평년,"45,944",2021-01-27
고구마,151,밤(1kg),00,상품,04,1kg,당일 (01/27),"6,531",1일전 (01/26),"6,531",1주일전 (01/20),"6,213",2주일전 (01/13),"6,042",1개월전,"5,867",1년전,"4,153",일평년,"4,405",2021-01-27
고구마,151,밤(1kg),00,중품,05,1kg,당일 (01/27),"5,076",1일전 (01/26),"5,076",1주일전 (01/20),"4,691",2주일전 (01/13),"4,587",1개월전,"4,614",1년전,"3,586",일평년,"3,644",2021-01-27
